ServerName,DiskUsage_MNT,DiskUsage_Root
ardee,25,25
bis,58,58
brookfield,21,21
dev112,37,37
dev134,36,36
dev171,85,85
dev176,86,86
dlf,44,44
DK-travel/Etraveli,75,75
Green-Gables,71,71
happiness,76,76
indishipers,74,74
learner,49,49
meghatravels,58,58
SBTS-Demo,57,57
opg,16,16
shripad/XPO,74,74
sst-pramiti,68,68
stonehill,32,32
taism,18,18
themauryaschool,vcc,92,92
vidyasoudha,54,54
,
