Mon Jul 14 20:42:14 IST 2025
aktourstravelsaktourstravels,Jul 14 2025,Jan 11 2025 mongoser -> safetraxrest_V11.08.90_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.3-routing-fat.jar,PowerBiDashBoard_V3.jar,vehicle_Driver_Compliance_Column_4April2024.jar,deactivate-noncomplaint-vehicle_1.jar,deactivate-noncomplaint-driver_1.jar,trip-safe-reaching-call-maker-all-V2.7.jar,rfidlocation.jar,summaryModifierV0.2.jar,vehicleStatusUpdateV1.2.jar,updateSmsDeliveryStatusV1.2.jar,dashboardSummaryV1.8.jar,dashboardSummaryV1.8.jar,summaryDashboardV3.1.jar,pastgeofencing_V7.11.jar,trip-runningstatus-modifier_V3.5.jar,gps-data-replicationV5.0.jar,stoppageNonAdherence-V2.5.jar,ReportCleaner_oct4-2022.jar,vehicle-doc-expiry-mailerV1.6.jar,driver-doc-expiry-mailerV1.6.jar,docExpiryMailerV5.0.jar,auto-inactive-new-profilesV3.3.jar
aloricaalorica,Jul 14 2025,May 6 09:32 mongoser -> safetraxrest_V11.09.42_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.3-routing-fat.jar,auto-inactive-new-profilesV3.4.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,vehicleStatusUpdateV1.2.jar,dashboardSummaryV2.7.jar,dashboardSummaryV2.7.jar,summaryDashboardV3.1.jar,docExpiryMailerV5.0.jar,ivr-sos-updater_V1.03.jar,trip-safe-reaching-call-makerV5.5.jar,employeeStatusUpdateV1.0.jar,pastgeofencing_V7.16.jar,trip-runningstatus-modifier_V3.6.jar,3_powerBiDashboaredlatestMay16.jar,vehicleDriverEscortComplainceColumn.jar,gps-data-replicationV5.1.jar,ReportCleaner_oct4-2022.jar
amlaml,Jul 14 2025,Jul 1 18:43 mongoser -> safetraxrest_V11.09.68_2.0.5_temp ,java
java,jrouting-2.0.5-jar-with-dependencies.jar,vrpserver-1.6.6.5-routing-fat.jar,pastgeofencing_V7.16.jar,gps-data-replicationV5.1.jar,ReportCleaner_oct4-2022.jar,auto-inactive-new-profilesV3.4.jar,rfidlocation.jar,summaryModifierV0.2.jar,vehicleStatusUpdateV1.2.jar,dashboardSummaryV2.7.jar,dashboardSummaryV2.7.jar,summaryDashboardV3.1.jar
apolloapollo,Jul 14 2025,Mar 27 09:04 mongoser -> safetraxrest_V11.09.24_1.9.1 ,java,jrouting-1.9.1-jar-with-dependencies.jar,vrpserver-1.9.1.0-routing-fat.jar,vehicle-doc-expiry-mailerV5.0.jar,driver-doc-expiry-mailerV5.0.jar,docExpiryMailerV5.0.jar,deactivate-noncomplaint-vehicle_1.jar,deactivate-noncomplaint-driver_1.jar,auto-inactive-new-profilesV3.3.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,gpsunreachablealert_V2.4.jar,vehicleStatusUpdateV1.2.jar,dashboard-summary-bny.jar,dashboard-summary-bny.jar,summaryDashboardV3.1.jar,gpsRfidStatusMailer.jar,employeeStatusUpdateV1.0.jar,pastgeofencing_V7.02.jar,trip-runningstatus-modifier_V3.5.jar,gps-data-replication-V2.01.jar,ReportCleaner_oct4-2022.jar,ivr-sos-updater_V1.02.jar,3_powerBiDashboaredlatestMay16.jar,vehicleDriverEscortComplainceColumn.jar
appapp,Jul 14 2025,Jul 1 22:04 mongoser -> safetraxrest_V11.09.67_1.9.1 ,java
java,jrouting-1.9.1-jar-with-dependencies.jar,vrpserver-1.6.6.5-routing-fat.jar,rosterRemainderNotifierV5.1.jar,trip-safe-reaching-call-maker-4thMarch2025.jar,vehicle-doc-expiry-mailerV5.0.jar,driver-doc-expiry-mailerV5.0.jar,docExpiryMailerV5.0.jar,pastgeofencing_V7.16.jar,trip-runningstatus-modifier_V3.6.jar,gps-data-replicationV5.1.jar,ReportCleaner_oct4-2022.jar,autoInactiveNewProfilesV3.3.jar,rfidlocation.jar,summaryModifierV0.2.jar,vehicleStatusUpdateV1.2.jar,dashboardSummaryV2.7.jar,dashboardSummaryV2.7.jar,summaryDashboardV3.1.jar,mark-Emp-NonTransport-For-NoConfirmationV2.0.jar,vehicle-driver-inactive-marker_V0.2.jar,vehicle-driver-vehicle-driver-inactive-marker_V0.2.jar,deactivate-noncomplaint-driver_1.jar,deactivate-noncomplaint-vehicle_1.jar,app_push_notification_service.jar,trip-nonconfirmation-employee-mailerV4.5.jar,trip-nonconfirmation-admin-mailerV3.1.jar
atandtatandt,Jul 14 2025,Jun 26 14:31 mongoser -> safetraxrest_V11.09.59_2.0.1_temp ,java,jrouting-2.0.1-jar-with-dependencies.jar,vrpserver-1.6.6.3-routing-fat.jar,ivr-sos-updater_V1.02.jar,stoppageNonAdherence-V2.5.jar,confirmationNonAdherence-V2.6.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,gpsunreachablealert_V2.4.jar,vehicleStatusUpdateV1.2.jar,dashboardSummaryV2.7.jar,dashboardSummaryV2.7.jar,summaryDashboardV3.1.jar,gpsRfidStatusMailer.jar,employeeStatusUpdateV1.0.jar,pastgeofencing_V7.16.jar,trip-runningstatus-modifier_V3.6.jar,vehicleDriverEscortComplainceColumn.jar,PowerBi_DashBoard_23_May.jar,trip-safe-reaching-call-makerV5.5.jar,ReportCleaner_oct4-2022.jar,mark-Emp-NonTransport-For-NoConfirmationV2.0.jar,auto-inactive-new-profilesV3.3.jar,gps-data-replicationV5.1.jar,trip-noconfirmation-admin-mailerV2.1.jar
baghirathibaghirathi,Jul 14 2025,Mar 4 14:01 mongoser -> safetraxrest_V11.09.12_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.0-routing-fat.jar,3_powerBiDashboaredlatestMay16.jar,vehicleDriverEscortComplainceColumn.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,gpsunreachablealert_V2.4.jar,vehicleStatusUpdateV1.2.jar,Roster-Remainder-MailerV6.0.jar,auto-inactive-new-profilesV3.4.jar,stoppageNonAdherence-V2.5.jar,dashboardSummaryV2.7.jar,dashboardSummaryV2.7.jar,summaryDashboardV3.1.jar,gpsRfidStatusMailer.jar,employeeStatusUpdateV1.0.jar,pastgeofencing_V7.02.jar,trip-runningstatus-modifier_V3.5.jar,gps-data-replicationV5.1.jar,rosterRemainderNotifier_V1.0_25port.jar,ReportCleaner_oct4-2022.jar
baxterbaxter,Jul 14 2025,Feb 14 19:00 mongoser -> safetraxrest_V11.09.03_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.7-routing-fat.jar,auto-inactive-new-profilesV3.3.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,gpsunreachablealert_V2.4.jar,vehicleStatusUpdateV1.2.jar,trip-safe-reaching-call-makerV5.6.jar,docExpiryMailerV5.0.jar,dashboardSummaryV1.8.jar,dashboardSummaryV1.8.jar,summaryDashboardV3.1.jar,gpsRfidStatusMailer.jar,employeeStatusUpdateV1.0.jar,pastgeofencing_V7.02.jar,trip-runningstatus-modifier_V3.5.jar,ReportCleaner_oct4-2022.jar,gps-data-replication-V2.01.jar,3_powerBiDashboaredlatestMay16.jar,vehicleDriverEscortComplainceColumn.jar
beckmanbeckman,Jul 14 2025,Sep 24 2024 mongoser -> safetraxrest_V11.08.34_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.3-routing-fat.jar,PowerBiDashBoard_V3.jar,vehicle_Driver_Compliance_Column_4April2024.jar,auto-inactive-new-profilesV3.3.jar,deactivate-noncomplaint-vehicle_1.jar,deactivate-noncomplaint-driver_1.jar,trip-safe-reaching-call-maker-all-V2.7.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,vehicleStatusUpdateV1.2.jar,updateSmsDeliveryStatusV1.2.jar,dashboardSummaryV1.8.jar,dashboardSummaryV1.8.jar,summaryDashboardV3.1.jar,pastgeofencing_V7.8.jar,trip-runningstatus-modifier_V3.5.jar,gps-data-replicationV5.0.jar,stoppageNonAdherence-V2.5.jar,ReportCleaner_oct4-2022.jar,vehicle-doc-expiry-mailerV1.6.jar,driver-doc-expiry-mailerV1.6.jar,docExpiryMailerV5.0.jar,autoInactiveNewProfilesV3.2.jar
betanxtbetanxt,Jul 14 2025,Mar 5 10:21 mongoser -> safetraxrest_V11.09.12_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.0-routing-fat.jar,3_powerBiDashboaredlatestMay16.jar,vehicleDriverEscortComplainceColumn.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,vehicleStatusUpdateV1.2.jar,dashboard-summary-V2.0.jar,dashboard-summary-V2.0.jar,summaryDashboardV3.1.jar,employeeStatusUpdateV1.0.jar,pastgeofencing_V7.13.jar,trip-runningstatus-modifier_V3.6.jar,gps-data-replicationV5.0.jar,docExpiryMailerV5.0.jar,auto-inactive-new-profilesV3.3.jar
boomi-logisticsboomi-logistics,Jul 14 2025,Apr 29 10:01 mongoser -> safetraxrest_V11.09.39_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.5-routing-fat.jar,PowerBiDashboard_V3.3.jar,vehicle_Driver_Compliance_Column_4April2024.jar,deactivate-noncomplaint-vehicle_1.jar,deactivate-noncomplaint-driver_1.jar,trip-safe-reaching-call-maker-all-V2.7.jar,rfidlocation.jar,summaryModifierV0.2.jar,vehicleStatusUpdateV1.2.jar,dashboardSummaryV1.8.jar,dashboardSummaryV1.8.jar,summaryDashboardV3.1.jar,pastgeofencing_V7.12.jar,trip-runningstatus-modifier_V3.5.jar,gps-data-replicationV5.0.jar,stoppageNonAdherence-V2.3.jar,ReportCleaner_oct4-2022.jar,vehicle-doc-expiry-mailerV5.0.jar,driver-doc-expiry-mailerV5.0.jar,docExpiryMailerV5.0.jar,auto-inactive-new-profilesV3.3.jar
boydboyd,Jul 14 2025,Oct 1 2024 mongoser -> safetraxrest_V11.08.47_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.0-routing-fat.jar,ivr-sos-updater_V1.02.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,vehicleStatusUpdateV1.2.jar,dashboardSummaryV2.3.jar,dashboardSummaryV2.3.jar,summaryDashboardV3.1.jar,employeeStatusUpdateV1.0.jar,pastgeofencing_V7.5.jar,trip-runningstatus-modifier_V3.5.jar,gps-data-replicationV5.0.jar,3_powerBiDashboaredlatestMay16.jar
cadencecadence,Jul 14 2025,May 9 2024 mongoser -> safetraxrest_V11.07.48 ,java,jrouting-1.6.7-jar-with-dependencies.jar,,autoInactiveNewProfilesV3.2.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,gpsunreachablealert_V2.4.jar,vehicleStatusUpdateV1.2.jar,auto-inactive-new-profilesV3.3.jar,3_powerBiDashboaredlatestMay16.jar,vehicleDriverEscortComplainceColumn.jar,dashboardSummaryV1.8.jar,dashboardSummaryV1.8.jar,summaryDashboardV3.1.jar,gpsRfidStatusMailer.jar,employeeStatusUpdateV1.0.jar,pastgeofencing_V7.02.jar,trip-runningstatus-modifier_V3.6.jar,vehicle-driver-inactive-marker_V0.2.jar,ReportCleaner_oct4-2022.jar,gps-data-replication-V2.01:.jar,rosterRemainderNotifierV5.0.jar,docExpiryMailerV5.0.jar
calyxcalyx,Jul 14 2025,Oct 8 2024 mongoser -> safetraxrest_V11.08.48_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.3-routing-fat.jar,auto-inactive-new-profilesV3.3.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,gpsunreachablealert_V2.4.jar,vehicleStatusUpdateV1.2.jar,dashboardSummaryV1.8.jar,dashboardSummaryV1.8.jar,summaryDashboardV3.1.jar,gpsRfidStatusMailer.jar,employeeStatusUpdateV1.0.jar,pastgeofencing_V7.8.jar,trip-runningstatus-modifier_V3.5.jar,trip-safe-reaching-call-maker-all-V2.7.jar,ReportCleaner_oct4-2022.jar,PowerBiDashboard_V3.3.jar,vehicleDriverEscortComplainceColumn.jar,gps-data-replicationV5.0.jar,docExpiryMailerV5.0.jar
carclubscarclubs,Jul 14 2025,Dec 26 2024 mongoser -> safetraxrest_V11.08.81_1.6.7 ,java,jrouting-1.6.7-jar-with-dependencies.jar,vrpserver-1.6.6.5-routing-fat.jar,pastgeofencing_V7.13.jar,trip-runningstatus-modifier_V3.5.jar,gps-data-replicationV5.0.jar,ReportCleaner_oct4-2022.jar,autoInactiveNewProfilesV3.3.jar,rfidlocation.jar,summaryModifierV0.2.jar,vehicleStatusUpdateV1.2.jar,dashboardSummaryV1.8.jar,dashboardSummaryV1.8.jar,summaryDashboardV3.1.jar
celebicitcocitco,Jul 14 2025,Jun 30 15:26 mongoser -> safetraxrest_V11.09.67_1.9.1 ,java,jrouting-1.9.1-jar-with-dependencies.jar,vrpserver-1.6.6.3-routing-fat.jar,trip-nonconfirmation-employee-mailerV3.2.jar,trip-nonconfirmation-admin-mailerV3.1.jar,ivr-sos-updater_V1.jar,rfidlocation.jar,actualTimeSetterV2.1.jar,summaryModifierV0.2.jar,gpsunreachablealert_V2.4.jar,vehicleStatusUpdateV1.2.jar,auto-inactive-new-profilesV3.4.jar,dashboardSummaryV2.7.jar,dashboardSummaryV2.7.jar,summaryDashboardV3.1.jar,vehicle-doc-expiry-mailerV1.3.jar,driver-doc-expiry-mailerV1.3.jar,docExpiryMailerV5.0.jar,gpsRfidStatusMailer.jar,employeeStatusUpdateV1.0.jar,trip-safe-reaching-call-makerV5.5.jar,pastgeofencing_V7.16.jar,trip-runningstatus-modifier_V3.5.jar,ReportCleaner_oct4-2022.jar,gps-data-replicationV5.1.jar,3_powerBiDashboaredlatestMay16.jar,vehicle_Driver_Compliance_Column_4April2024.jar
